FIRE,MIN_NEAR_D,vegID,geomor1,aspect,slope,dem,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,tadem,pa,im,aridity
No,9514.243 ,6,42,22.810 ,89.984 ,383,-4.8375,14.8417,26.79,1526.212,21.8,-33.6,55.4,13.35,-24,13.35,-24,567,155,4,108.6098,379,14,379,14,-52,5063,945,729
No,4690.299 ,1,30,148.548 ,89.985 ,331,-3.3917,14.85,26.8535,1520.2255,23.1,-32.2,55.3,14.6667,-22.55,14.6667,-22.55,536,146,4,108.3377,357,13,357,13,-52,5082,955,729
No,1252.336 ,4,41,5.194 ,89.958 ,622,-3.9083,14.15,24.6946,1664.2987,24.2,-33.1,57.3,15.9,-24.7667,15.9,-24.7667,465,116,4,99.5894,294,15,294,15,-51,4919,850,730
No,19670.653 ,6,42,359.173 ,89.998 ,1033,-5.1792,15.075,26.8238,1545.7573,21.8,-34.4,56.2,13.2,-24.65,13.2,-24.65,548,150,3,110.1942,372,12,372,12,-51,4922,852,730
No,23195.144 ,6,42,14.104 ,89.997 ,975,-5.0417,14.9667,26.6786,1546.5105,21.9,-34.2,56.1,13.3167,-24.55,13.3167,-24.55,552,150,3,108.4329,369,12,369,12,-50,4918,848,730
No,16361.720 ,6,42,194.321 ,89.997 ,921,-4.6708,15.0583,26.0075,1647.2352,23.4,-34.5,57.9,14.8667,-25.4,14.8667,-25.4,510,130,4,102.8288,330,15,330,15,-51,4934,860,730
No,2710.937 ,5,40,336.760 ,89.995 ,793,-4.6333,15.3167,26.5453,1593.5585,22.8,-34.9,57.7,14.1333,-24.9,14.1333,-24.9,530,141,4,106.1675,350,14,350,14,-52,4966,878,730
No,7044.561 ,5,47,92.386 ,89.987 ,860,-4.2708,15.3583,26.7567,1579.6755,23.1,-34.3,57.4,14.3667,-24.3167,14.3667,-24.3167,536,144,4,107.5745,357,14,357,14,-51,5003,904,730
No,3136.171 ,6,32,244.654 ,89.995 ,707,-3.0958,14.0417,25.2095,1572.2255,23.6,-32.1,55.7,15.4667,-23,15.4667,-23,537,140,5,102.3155,343,17,343,17,-47,5145,1017,730
No,12066.004 ,5,27,15.582 ,89.995 ,954,-5.1292,14.8917,26.3104,1568.8842,22.1,-34.5,56.6,13.5,-24.95,13.5,-24.95,533,142,4,107.2752,355,15,355,15,-52,4926,847,731
No,5094.860 ,5,42,3.359 ,89.998 ,968,-4.4875,15.1417,26.7521,1556.8531,22.6,-34,56.6,14,-24.1667,14,-24.1667,532,141,4,106.4878,352,14,352,14,-52,4936,857,731
No,352.111 ,5,36,323.344 ,89.998 ,738,-3.6708,15.2083,27.1577,1532.2361,22.9,-33.1,56,14.4667,-23.05,14.4667,-23.05,539,149,3,109.8135,361,12,361,12,-55,5060,932,731
No,918.023 ,5,41,29.604 ,89.991 ,557,-3.7625,14.2917,25.4753,1580.8773,23.3,-32.8,56.1,15.0167,-23.6833,15.0167,-23.6833,540,138,5,101.1958,344,17,344,17,-56,5091,957,733
No,1851.553 ,6,41,159.444 ,89.995 ,411,-3.6208,14.825,26.9056,1515.9432,22.8,-32.3,55.1,14.4,-22.6833,14.4,-22.6833,540,149,3,109.1689,361,12,361,12,-51,5071,928,734
No,4453.171 ,6,42,307.064 ,89.992 ,955,-4.5583,14.15,25.3584,1577.7312,22.6,-33.2,55.8,14.3167,-24.3,14.3167,-24.3,547,143,4,104.1269,354,14,354,14,-56,5087,947,735
No,6189.122 ,10,42,180.666 ,89.989 ,671,-2.7083,14.6167,26.3363,1540.9469,23.7,-31.8,55.5,15.5,-22.2,15.5,-22.2,520,141,3,107.7153,343,12,343,12,-46,5137,979,736
No,4090.941 ,6,41,3.715 ,89.994 ,572,-2.9667,14.0333,25.0149,1616.9729,24.5,-31.6,56.1,16.25,-23.2167,16.25,-23.2167,507,128,5,99.6496,319,19,319,19,-48,5140,980,740
No,3065.425 ,6,30,353.157 ,89.982 ,652,-3.2417,14.1833,25.2822,1579.7207,23.6,-32.5,56.1,15.4,-23.2667,15.4,-23.2667,531,139,4,103.6133,342,15,342,15,-55,5125,973,740
No,4257.840 ,6,42,18.435 ,89.978 ,887,-4.5083,14.55,25.6162,1588.9703,22.7,-34.1,56.8,14.25,-24.7,14.25,-24.7,537,140,4,104.4788,349,14,349,14,-50,5067,897,741
No,4842.673 ,6,34,312.834 ,89.995 ,738,-4.0625,14.6417,25.9145,1574.2952,23.1,-33.4,56.5,14.6,-23.95,14.6,-23.95,524,138,3,106.356,344,12,344,12,-55,5008,850,743
No,5663.545 ,5,14,43.210 ,89.959 ,870,-5.0292,15.1417,26.5178,1578.9762,22.5,-34.6,57.1,13.7333,-24.9667,13.7333,-24.9667,533,143,3,108.8819,357,12,357,12,-57,4820,741,745
No,2275.711 ,6,42,160.624 ,89.995 ,590,-3.6625,14.8917,25.7196,1631.9915,24,-33.9,57.9,15.5,-24.4667,15.5,-24.4667,505,130,5,103.3881,327,16,327,16,-51,5000,833,747
No,740.748 ,5,11,236.310 ,89.872 ,513,-3.3583,14.9167,25.3685,1681.8331,24.8,-34,58.8,16.2833,-24.8333,16.2833,-24.8333,504,129,4,102.8432,325,16,325,16,-35,5005,837,747
No,4872.833 ,6,20,90.000 ,89.942 ,524,-2.2083,14.9167,26.495,1558.8717,24.3,-32,56.3,16.1,-22.05,16.1,-22.05,515,141,4,107.9329,340,13,340,13,-27,5128,906,748
No,3380.111 ,6,42,266.849 ,89.992 ,638,-3.7583,14.3,25.265,1617.1058,23.7,-32.9,56.6,15.4333,-24.0833,15.4333,-24.0833,524,135,4,103.6217,338,15,338,15,-45,5057,885,748
No,536.141 ,6,42,142.294 ,89.990 ,729,-3.775,13.85,25,1593.2107,23.6,-31.8,55.4,15.3167,-23.55,15.3167,-23.55,529,134,5,100.4493,335,17,335,17,-56,5049,873,748
No,37.323 ,6,42,3.814 ,89.993 ,627,-3.1333,13.5833,24.742,1579.884,23.7,-31.2,54.9,15.7167,-22.8333,15.7167,-22.8333,532,136,5,101.0395,337,17,337,17,-50,5132,946,749
No,1537.169 ,10,26,162.429 ,89.993 ,476,-2.6792,14.5083,26.572,1516.2251,23.3,-31.3,54.6,15.2833,-21.8,15.2833,-21.8,551,151,4,107.4805,363,14,363,14,-19,5145,903,752
No,1837.279 ,10,27,319.236 ,89.990 ,599,-2.3708,14.5083,26.0941,1547.9113,24,-31.6,55.6,15.85,-22,15.85,-22,518,142,3,108.8756,344,12,344,12,-26,5148,890,755
No,2833.621 ,5,40,354.159 ,89.998 ,819,-4.0292,14.625,25.7937,1613.2216,23.4,-33.3,56.7,15.1167,-24.3,15.1167,-24.3,516,134,4,104.2531,335,14,335,14,-56,4959,775,756
No,2409.500 ,5,41,135.000 ,89.990 ,372,-3.2458,14.675,24.7889,1725.8956,25.4,-33.8,59.2,16.9167,-25.2,16.9167,-25.2,459,111,5,97.2054,287,19,287,19,-28,4976,786,756
No,997.788 ,10,42,103.617 ,89.989 ,686,-2.4,14.6667,26.2843,1549.1215,24,-31.8,55.8,15.8333,-22.0833,15.8333,-22.0833,522,143,3,108.5546,346,12,346,12,-25,5148,886,756
No,3589.957 ,10,42,254.612 ,89.992 ,620,-2.4917,14.3333,26.1081,1531.2189,23.7,-31.2,54.9,15.6,-21.8333,15.6,-21.8333,529,144,3,108.209,349,11,349,11,-19,5158,892,756
No,8484.610 ,6,42,105.915 ,89.993 ,659,-2.9875,14.3083,25.5506,1576.6177,23.8,-32.2,56,15.6333,-22.95,15.6333,-22.95,542,141,5,102.1452,345,17,345,17,-38,5124,924,757
No,1643.843 ,3,42,148.167 ,89.994 ,920,-4.6833,15.5,26.4505,1660.3043,23.6,-35,58.6,14.9333,-25.6333,14.9333,-25.6333,508,128,5,101.3205,325,16,325,16,-55,4927,741,758
No,1909.039 ,6,31,203.131 ,89.996 ,664,-2.5292,15.1083,26.6932,1555.3025,24.1,-32.5,56.6,15.75,-22.3333,15.75,-22.3333,522,143,4,108.0799,345,13,345,13,-27,5144,877,758
No,3346.718 ,6,42,257.502 ,89.995 ,965,-5.3125,14.525,25.9375,1589.1237,22,-34,56,13.7667,-25.05,13.7667,-25.05,543,141,4,104.7057,354,14,354,14,-59,4805,685,759
No,2929.254 ,6,36,194.837 ,89.994 ,725,-4.5667,15.2833,25.9921,1687.5713,24,-34.8,58.8,15.3333,-25.8833,15.3333,-25.8833,493,123,5,100.6341,314,17,314,17,-56,4940,748,760
No,551.194 ,6,42,177.583 ,89.997 ,608,-3.6958,14.825,25.6488,1648.8777,24.1,-33.7,57.8,15.7,-24.6,15.7,-24.6,505,128,5,101.2049,322,17,322,17,-57,4948,755,760
No,1272.588 ,6,42,342.303 ,89.997 ,659,-3.6583,13.45,24.6337,1575.3468,23.4,-31.2,54.6,15.3333,-23.0833,15.3333,-23.0833,523,134,4,102.1729,334,14,334,14,-44,5019,813,760
